"id","startTime","comparisonId"
2541,"2021-03-25 11:10:00.028",66
2542,"2021-03-25 11:30:00.028",90
2543,"2021-03-25 12:00:00.029",73
2544,"2021-03-25 12:20:00.03",91
2545,"2021-03-25 12:50:00.03",76
2546,"2021-03-25 13:10:00.031",71
2547,"2021-03-25 13:40:00.031",69
2548,"2021-03-25 14:00:00.032",92
2549,"2021-03-25 14:30:00.032",89
2550,"2021-03-25 15:00:00.012",67
2551,"2021-03-25 15:20:00.032",87
2552,"2021-03-25 15:50:00.017",86
2553,"2021-03-25 16:10:00.033",70
2554,"2021-03-25 16:40:00.018",65
2555,"2021-03-25 17:00:00.034",74
2556,"2021-03-25 17:30:00.018",72
2557,"2021-03-25 17:50:00.036",88
2558,"2021-03-25 18:20:00.02",75
2559,"2021-03-25 18:40:00.036",68
2560,"2021-03-25 19:10:00.021",66
2561,"2021-03-25 19:30:00.037",90
2562,"2021-03-25 20:00:00.022",73
2563,"2021-03-25 20:20:00.038",91
2564,"2021-03-25 20:50:00.023",76
2565,"2021-03-25 21:10:00.039",71
2566,"2021-03-25 21:40:00.024",69
2567,"2021-03-25 22:00:00.041",92
2568,"2021-03-25 22:30:00.025",89
2569,"2021-03-25 23:00:00.008",67
2570,"2021-03-25 23:20:00.026",87
2571,"2021-03-25 23:50:00.009",86
2572,"2021-03-26 00:10:00.027",70
2573,"2021-03-26 00:40:00.011",65
2574,"2021-03-26 01:00:00.029",74
2575,"2021-03-26 01:30:00.012",72
2576,"2021-03-26 01:50:00.031",88
2577,"2021-03-26 02:20:00.014",75
2578,"2021-03-26 02:40:00.033",68
2579,"2021-03-26 03:10:00.016",66
2580,"2021-03-26 03:30:00.034",90
2581,"2021-03-26 04:00:00.017",73
2582,"2021-03-26 04:20:00.035",91
2583,"2021-03-26 04:50:00.017",76
2584,"2021-03-26 05:10:00.037",71
2585,"2021-03-26 05:40:00.019",69
2586,"2021-03-26 06:00:00.038",92
2587,"2021-03-26 06:30:00.021",89
2588,"2021-03-26 07:00:00.006",67
2589,"2021-03-26 07:20:00.022",87
2590,"2021-03-26 07:50:00.007",86
2591,"2021-03-26 08:10:00.024",70
2592,"2021-03-26 08:40:00.009",65
2593,"2021-03-26 09:00:00.025",74
2594,"2021-03-26 09:30:00.009",72
2595,"2021-03-26 09:50:00.025",88
2596,"2021-03-26 10:20:00.018",75
2597,"2021-03-26 10:40:00.026",68
2598,"2021-03-26 11:10:00.02",66
2599,"2021-03-26 11:30:00.026",90
2600,"2021-03-26 12:00:00.02",73
2601,"2021-03-26 12:20:00.027",91
2602,"2021-03-26 12:50:00.02",76
2603,"2021-03-26 13:10:00.029",71
2604,"2021-03-26 13:40:00.021",69
2605,"2021-03-26 14:00:00.03",92
2606,"2021-03-26 14:30:00.023",89
2607,"2021-03-26 15:00:00.008",67
2608,"2021-03-26 15:20:00.024",87
2609,"2021-03-26 15:50:00.009",86
2610,"2021-03-26 16:10:00.024",70
2611,"2021-03-26 16:40:00.01",65
2612,"2021-03-26 17:00:00.025",74
2613,"2021-03-26 17:30:00.011",72
2614,"2021-03-26 17:50:00.027",88
2615,"2021-03-26 18:20:00.012",75
2616,"2021-03-26 18:40:00.028",68
2617,"2021-03-26 19:10:00.017",66
2618,"2021-03-26 19:30:00.03",90
2619,"2021-03-26 20:00:00.018",73
2620,"2021-03-26 20:20:00.03",91
2621,"2021-03-26 20:50:00.02",76
2622,"2021-03-26 21:10:00.031",71
2623,"2021-03-26 21:40:00.022",69
2624,"2021-03-26 22:00:00.033",92
2625,"2021-03-26 22:30:00.024",89
2626,"2021-03-26 23:00:00.008",67
2627,"2021-03-26 23:20:00.024",87
2628,"2021-03-26 23:50:00.009",86
2629,"2021-03-27 00:10:00.025",70
2630,"2021-03-27 00:40:00.01",65
2631,"2021-03-27 01:00:00.027",74
2632,"2021-03-27 01:30:00.011",72
2633,"2021-03-27 01:50:00.027",88
2634,"2021-03-27 02:20:00.012",75
2635,"2021-03-27 02:40:00.028",68
2636,"2021-03-27 03:10:00.014",66
2637,"2021-03-27 03:30:00.03",90
2638,"2021-03-27 04:00:00.016",73
2639,"2021-03-27 04:20:00.031",91
2640,"2021-03-27 04:50:00.016",76
2641,"2021-03-27 05:10:00.032",71
2642,"2021-03-27 05:40:00.018",69
2643,"2021-03-27 06:00:00.033",92
2644,"2021-03-27 06:30:00.02",89
2645,"2021-03-27 07:00:00.017",67
2646,"2021-03-27 07:20:00.021",87
2647,"2021-03-27 07:50:00.021",86
2648,"2021-03-27 08:10:00.023",70
2649,"2021-03-27 08:40:00.022",65
2650,"2021-03-27 09:00:00.024",74
2651,"2021-03-27 09:30:00.023",72
2652,"2021-03-27 09:50:00.025",88
2653,"2021-03-27 10:20:00.025",75
2654,"2021-03-27 10:40:00.026",68
2655,"2021-03-27 11:10:00.025",66
2656,"2021-03-27 11:30:00.027",90
2657,"2021-03-27 12:00:00.026",73
2658,"2021-03-27 12:20:00.029",91
2659,"2021-03-27 12:50:00.027",76
2660,"2021-03-27 13:10:00.031",71
2661,"2021-03-27 13:40:00.028",69
2662,"2021-03-27 14:00:00.032",92
2663,"2021-03-27 14:30:00.029",89
2664,"2021-03-27 15:00:00.008",67
2665,"2021-03-27 15:20:00.03",87
2666,"2021-03-27 15:50:00.009",86
2667,"2021-03-27 16:10:00.031",70
2668,"2021-03-27 16:40:00.009",65
2669,"2021-03-27 17:00:00.032",74
2670,"2021-03-27 17:30:00.01",72
2671,"2021-03-27 17:50:00.033",88
2672,"2021-03-27 18:20:00.012",75
2673,"2021-03-27 18:40:00.035",68
2674,"2021-03-27 19:10:00.013",66
2675,"2021-03-27 19:30:00.036",90
2676,"2021-03-27 20:00:00.015",73
2677,"2021-03-27 20:20:00.038",91
2678,"2021-03-27 20:50:00.015",76
2679,"2021-03-27 21:10:00.04",71
2680,"2021-03-27 21:40:00.017",69
2681,"2021-03-27 22:00:00.041",92
2682,"2021-03-27 22:30:00.017",89
2683,"2021-03-27 23:00:00.224",67
2684,"2021-03-27 23:20:00.019",87
2685,"2021-03-27 23:50:00.225",86
2686,"2021-03-28 00:10:00.02",70
2687,"2021-03-28 00:40:00.226",65
2688,"2021-03-28 01:00:00.022",74
2689,"2021-03-28 01:30:00.228",72
2690,"2021-03-28 01:50:00.024",88
2691,"2021-03-28 02:20:00.229",75
